Prime	Target	Type	Lijst	Target (unr)
schaap	wol	SYM	8	boos
zenuwachtig	nerveus	SYM	3	reeds
boven	onder	SYM	8	trouw
huwelijk	trouw	SYM	6	knippen
toveren	magie	SYM	7	wol
non	zuster	SYM	6	ernstig
jungle	oerwoud	SYM	8	zuster
verdriet	wenen	SYM	4	kort
water	drinken	SYM	1	lezen
gezwel	tumor	SYM	5	verstaan
correct	juist	SYM	8	spijtig
opinie	mening	SYM	7	nonkel
kalm	rustig	SYM	3	dikwijls
anti	tegen	SYM	3	wenen
boog	pijl	SYM	1	zat
donder	bliksem	SYM	1	rustig
uniek	enig	SYM	3	vraag
wijze	manier	SYM	4	nevel
antwoord	vraag	SYM	7	manier
jammer	spijtig	SYM	2	oerwoud
boek	lezen	SYM	8	elk
normaal	gewoon	SYM	4	kapot
gek	zot	SYM	2	pijl
dronken	zat	SYM	5	tumor
kwaad	boos	SYM	6	gewoon
al	reeds	SYM	3	mening
mist	nevel	SYM	5	tegen
stuk	kapot	SYM	2	trots
vertaler	tolk	SYM	6	krabben
ieder	elk	SYM	4	bliksem
begrijpen	verstaan	SYM	1	onder
jeuk	krabben	SYM	5	dicht
slapen	bed	SYM	7	juist
fier	trots	SYM	2	bed
schaar	knippen	SYM	2	nerveus
serieus	ernstig	SYM	5	drinken
oom	nonkel	SYM	6	tolk
vaak	dikwijls	SYM	1	magie
lang	kort	SYM	7	enig
toe	dicht	SYM	4	zot
prijzig	duur	FA	1	herfst
vlok	sneeuw	FA	3	lachen
toxisch	giftig	FA	7	lawaai
kruimel	brood	FA	5	ziekte
rumoer	lawaai	FA	4	hout
panda	beer	FA	1	sneeuw
monding	rivier	FA	5	steen
debuut	begin	FA	4	woestijn
filter	koffie	FA	5	turnen
kassei	steen	FA	8	duur
concert	muziek	FA	1	vies
salami	worst	FA	6	borstel
pest	ziekte	FA	3	aarde
selectie	keuze	FA	2	raket
koprol	turnen	FA	7	moe
kluit	aarde	FA	7	stem
lasso	cowboy	FA	2	drama
likeur	drank	FA	2	netjes
pek	zwart	FA	1	suiker
komedie	lachen	FA	4	giftig
pedicure	voeten	FA	2	cowboy
goor	vies	FA	7	wit
uitkijk	toren	FA	3	zwart
dok	haven	FA	6	ogen
klont	suiker	FA	6	rivier
splinter	hout	FA	8	koffie
blanco	wit	FA	8	slang
droogte	woestijn	FA	8	beer
keurig	netjes	FA	3	drank
geeuw	moe	FA	6	worst
vocaal	stem	FA	4	haven
lanceren	raket	FA	3	keuze
veger	borstel	FA	5	lied
scheel	ogen	FA	5	toren
oktober	herfst	FA	6	muziek
wekken	opstaan	FA	4	brood
ratel	slang	FA	2	begin
tragedie	drama	FA	8	wagen
refrein	lied	FA	1	opstaan
takel	wagen	FA	7	voeten
baby	wieg	BA	8	dek
